1.000070  0.001048
0.998540  0.001330
0.993961  0.002171
0.986357  0.003556
0.975775  0.005459
0.962276  0.007844
0.945940  0.010670
0.926862  0.013885
0.905157  0.017437
0.880954  0.021264
0.854397  0.025306
0.825645  0.029500
0.794873  0.033780
0.762266  0.038082
0.728023  0.042343
0.692352  0.046498
0.655472  0.050486
0.617610  0.054244
0.578999  0.057714
0.539878  0.060837
0.500490  0.063559
0.461081  0.065828
0.421898  0.067597
0.383073  0.068806
0.344815  0.069270
0.307517  0.068944
0.271422  0.067832
0.236767  0.065953
0.203779  0.063339
0.172672  0.060039
0.143648  0.056111
0.116894  0.051629
0.092579  0.046673
0.070854  0.041329
0.051853  0.035687
0.035689  0.029834
0.022455  0.023856
0.012225  0.017826
0.005053  0.011810
0.000973  0.005856
0.000000  0.000000
0.002109 -0.005549
0.007258 -0.010588
0.015405 -0.015111
0.026489 -0.019111
0.040432 -0.022584
0.057141 -0.025530
0.076506 -0.027950
0.098404 -0.029854
0.122700 -0.031257
0.149245 -0.032184
0.177880 -0.032664
0.208436 -0.032738
0.240734 -0.032453
0.274587 -0.031864
0.309800 -0.031030
0.346168 -0.030012
0.383482 -0.028876
0.421668 -0.027650
0.460460 -0.026238
0.499510 -0.024670
0.538581 -0.022991
0.577435 -0.021243
0.615835 -0.019463
0.653545 -0.017683
0.690331 -0.015929
0.725968 -0.014224
0.760232 -0.012583
0.792912 -0.011019
0.823803 -0.009543
0.852710 -0.008163
0.879452 -0.006886
0.903860 -0.005718
0.925778 -0.004665
0.945067 -0.003734
0.961603 -0.002931
0.975281 -0.002263
0.986013 -0.001736
0.993728 -0.001355
0.998377 -0.001125
0.999930 -0.001048
